time,distance (cm)
0.0,1068
0.01,1068
0.02,1068
0.03,1068
0.04,1068
0.05,1068
0.06,1068
0.07,1068
0.08,1068
0.09,1068
0.1,1068
0.11,1068
0.12,1068
0.13,1068
0.14,1068
0.15,1068
0.16,1068
0.17,1068
0.18,1068
0.19,1068
0.2,1068
0.21,1068
0.22,1068
0.23,1068
0.24,1068
0.25,1068
0.26,1068
0.27,1068
0.28,1068
0.29,1068
0.3,1068
0.31,1068
0.32,1068
0.33,1068
0.34,1068
0.35000000000000003,1068
0.36,1068
0.37,1068
0.38,1068
0.39,1068
0.4,1068
0.41000000000000003,1068
0.42,1068
0.43,1068
0.44,1068
0.45,1068
0.46,1068
0.47000000000000003,1068
0.48,1068
0.49,1068
0.5,1068
0.51,1068
0.52,1068
0.53,1068
0.54,1068
0.55,1068
0.56,1068
0.5700000000000001,1068
0.58,1068
0.59,1068
0.6,1068
0.61,1068
0.62,1068
0.63,1068
0.64,1068
0.65,1068
0.66,1068
0.67,1068
0.68,1068
0.6900000000000001,1068
0.7000000000000001,1068
0.71,1068
0.72,1068
0.73,1068
0.74,1068
0.75,1068
0.76,1068
0.77,1068
0.78,1068
0.79,1068
0.8,1068
0.81,1068
0.8200000000000001,1068
0.8300000000000001,1068
0.84,1068
0.85,1068
0.86,1068
0.87,1068
0.88,1068
0.89,1068
0.9,1068
0.91,1068
0.92,1068
0.93,1068
0.9400000000000001,1068
0.9500000000000001,1068
0.96,1068
0.97,1068
0.98,1068
0.99,1068
1.0,1068
1.01,1068
1.02,1068
1.03,1068
1.04,1068
1.05,1068
1.06,1068
1.07,1068
1.08,1068
1.09,1068
1.1,1068
1.11,1068
1.12,1068
1.1300000000000001,1068
1.1400000000000001,1068
1.1500000000000001,1068
1.16,1068
1.17,1068
1.18,1068
1.19,1068
1.2,1068
1.21,1068
1.22,1068
1.23,1068
1.24,1068
1.25,1068
1.26,1068
1.27,1068
1.28,1068
1.29,1068
1.3,1068
1.31,1068
1.32,1068
1.33,1068
1.34,1068
1.35,1068
1.36,1068
1.37,1068
1.3800000000000001,1068
1.3900000000000001,1068
1.4000000000000001,1068
1.41,1068
1.42,1068
1.43,1068
1.44,1068
1.45,1068
1.46,1068
1.47,1068
1.48,1068
1.49,1068
1.5,1068
1.51,1068
1.52,1068
1.53,1068
1.54,1068
1.55,1068
1.56,1068
1.57,1068
1.58,1068
1.59,1068
1.6,1068
1.61,1068
1.62,1068
1.6300000000000001,1068
1.6400000000000001,1068
1.6500000000000001,1068
1.6600000000000001,1068
1.67,1068
1.68,1068
1.69,1068
1.7,1068
1.71,1068
1.72,1068
1.73,1068
1.74,1068
1.75,1068
1.76,1068
1.77,1068
1.78,1068
1.79,1068
1.8,1068
1.81,1068
1.82,1068
1.83,1068
1.84,1068
1.85,1068
1.86,1068
1.87,1068
1.8800000000000001,1068
1.8900000000000001,1068
1.9000000000000001,1068
1.9100000000000001,1068
1.92,1068
1.93,1068
1.94,1068
1.95,1068
1.96,1068
1.97,1068
1.98,1068
1.99,1068
2.0,1068
2.0100000000000002,1068
2.02,1068
2.0300000000000002,1068
2.04,1068
2.05,1068
2.06,1068
2.07,1068
2.08,1068
2.09,1068
2.1,1068
2.11,1068
2.12,1068
2.13,1068
2.14,1068
2.15,1068
2.16,1068
2.17,1068
2.18,1068
2.19,1068
2.2,1068
2.21,1068
2.22,1068
2.23,1068
2.24,1068
2.25,1068
2.2600000000000002,1068
2.27,1068
2.2800000000000002,1068
2.29,1068
2.3000000000000003,1068
2.31,1068
2.32,1068
2.33,1068
2.34,1068
2.35,1068
2.36,1068
2.37,1068
2.38,1068
2.39,1068
2.4,1068
2.41,1068
2.42,1068
2.43,1068
2.44,1068
2.45,1068
2.46,1068
2.47,1068
2.48,1068
2.49,1068
2.5,1068
2.5100000000000002,1068
2.52,1068
2.5300000000000002,1068
2.54,1068
2.5500000000000003,1068
2.56,1068
2.57,1068
2.58,1068
2.59,1068
2.6,1068
2.61,1068
2.62,1068
2.63,1068
2.64,1068
2.65,1068
2.66,1068
2.67,1068
2.68,1068
2.69,1068
2.7,1068
2.71,1068
2.72,1068
2.73,1068
2.74,1068
2.75,1068
2.7600000000000002,1068
2.77,1068
2.7800000000000002,1068
2.79,1068
2.8000000000000003,1068
2.81,1068
2.82,1068
2.83,1068
2.84,1068
2.85,1068
2.86,1068
2.87,1068
2.88,1068
2.89,1068
2.9,1068
2.91,1068
2.92,1068
2.93,1068
2.94,1068
2.95,1068
2.96,1068
2.97,1068
2.98,1068
2.99,1068
3.0,1068
3.0100000000000002,1068
3.02,1068
3.0300000000000002,1068
3.04,1068
3.0500000000000003,1068
3.06,1068
3.0700000000000003,1068
3.08,1068
3.09,1068
3.1,1068
3.11,1068
3.12,1068
3.13,1068
3.14,1068
3.15,1068
3.16,1068
3.17,1068
3.18,1068
3.19,1068
3.2,1068
3.21,1068
3.22,1068
3.23,1068
3.24,1068
3.25,1068
3.2600000000000002,1068
3.27,1068
3.2800000000000002,1068
3.29,1068
3.3000000000000003,1068
3.31,1068
3.3200000000000003,1068
3.33,1068
3.34,1068
3.35,1068
3.36,1068
3.37,1068
3.38,1068
3.39,1068
3.4,1068
3.41,1068
3.42,1068
3.43,1068
3.44,1068
3.45,1068
3.46,1068
3.47,1068
3.48,1068
3.49,1068
3.5,1068
3.5100000000000002,1068
3.52,1068
3.5300000000000002,1068
3.54,1068
3.5500000000000003,1068
3.56,1068
3.5700000000000003,1068
3.58,1068
3.59,1068
3.6,1068
3.61,1068
3.62,1068
3.63,1068
3.64,1068
3.65,1068
3.66,1068
3.67,1068
3.68,1068
3.69,1068
3.7,1068
3.71,1068
3.72,1068
3.73,1068
3.74,1068
3.75,1068
3.7600000000000002,1068
3.77,1068
3.7800000000000002,1068
3.79,1068
3.8000000000000003,1068
3.81,1068
3.8200000000000003,1068
3.83,1068
3.84,1068
3.85,1068
3.86,1068
3.87,1068
3.88,1068
3.89,1068
3.9,1068
3.91,1068
3.92,1068
3.93,1068
3.94,1068
3.95,1068
3.96,1068
3.97,1068
3.98,1068
3.99,1068
4.0,1068
4.01,1068
4.0200000000000005,1068
4.03,1068
4.04,1068
4.05,1068
4.0600000000000005,1068
4.07,1068
4.08,1068
4.09,1068
4.1,1068
4.11,1068
4.12,1068
4.13,1068
4.14,1068
4.15,1068
4.16,1068
4.17,1068
4.18,1068
4.19,1068
4.2,1068
4.21,1068
4.22,1068
4.23,1068
4.24,1068
4.25,1068
4.26,1068
4.2700000000000005,1068
4.28,1068
4.29,1068
4.3,1068
4.3100000000000005,1068
4.32,1068
4.33,1068
4.34,1068
4.3500000000000005,1068
4.36,1068
4.37,1068
4.38,1068
4.39,1068
4.4,1068
4.41,1068
4.42,1068
4.43,1068
4.44,1068
4.45,1068
4.46,1068
4.47,1068
4.48,1068
4.49,1068
4.5,1068
4.51,1068
4.5200000000000005,1068
4.53,1068
4.54,1068
4.55,1068
4.5600000000000005,1068
4.57,1068
4.58,1068
4.59,1068
4.6000000000000005,1068
4.61,1068
4.62,1068
4.63,1068
4.64,1068
4.65,1068
4.66,1068
4.67,1068
4.68,1068
4.69,1068
4.7,1068
4.71,1068
4.72,1068
4.73,1068
4.74,1068
4.75,1068
4.76,1068
4.7700000000000005,1068
4.78,1068
4.79,1068
4.8,1068
4.8100000000000005,1068
4.82,1068
4.83,1068
4.84,1068
4.8500000000000005,1068
4.86,1068
4.87,1068
4.88,1068
4.89,1068
4.9,1068
4.91,1068
4.92,1068
4.93,1068
4.94,1068
4.95,1068
4.96,1068
4.97,1068
4.98,1068
4.99,1068
5.0,1068
5.01,1068
5.0200000000000005,1068
5.03,1068
5.04,1068
5.05,1068
5.0600000000000005,1068
5.07,1068
5.08,1068
5.09,1068
5.1000000000000005,1068
5.11,1068
5.12,1068
5.13,1068
5.14,1068
5.15,1068
5.16,1068
5.17,1068
5.18,1068
5.19,1068
5.2,1068
5.21,1068
5.22,1068
5.23,1068
5.24,1068
5.25,1068
5.26,1068
5.2700000000000005,1068
5.28,1068
5.29,1068
5.3,1068
5.3100000000000005,1068
5.32,1068
5.33,1068
5.34,1068
5.3500000000000005,1068
5.36,1068
5.37,1068
5.38,1068
5.39,1068
5.4,1068
5.41,1068
5.42,1068
5.43,1068
5.44,1068
5.45,1068
5.46,1068
5.47,1068
5.48,1068
5.49,1068
5.5,1068
5.51,1068
5.5200000000000005,1068
5.53,1068
5.54,1068
5.55,1068
5.5600000000000005,1068
5.57,1068
5.58,1068
5.59,1068
5.6000000000000005,1068
5.61,1068
5.62,1068
5.63,1068
5.64,1068
5.65,1068
5.66,1068
5.67,1068
5.68,1068
5.69,1068
5.7,1068
5.71,1068
5.72,1068
5.73,1068
5.74,1068
5.75,1068
5.76,1068
5.7700000000000005,1068
5.78,1068
5.79,1068
5.8,1068
5.8100000000000005,1068
5.82,1068
5.83,1068
5.84,1068
5.8500000000000005,1068
5.86,1068
5.87,1068
5.88,1068
5.89,1068
5.9,1068
5.91,1068
5.92,1068
5.93,1068
5.94,1068
5.95,1068
5.96,1068
5.97,1068
5.98,1068
5.99,1068
6.0,1068
6.01,1068
6.0200000000000005,1068
6.03,1068
6.04,1068
6.05,1068
6.0600000000000005,1068
6.07,1068
6.08,1068
6.09,1068
6.1000000000000005,1068
6.11,1068
6.12,1068
6.13,1068
6.140000000000001,1068
6.15,1068
6.16,1068
6.17,1068
6.18,1068
6.19,1068
6.2,1068
6.21,1068
6.22,1068
6.23,1068
6.24,1068
6.25,1068
6.26,1068
6.2700000000000005,1068
6.28,1068
6.29,1068
6.3,1068
6.3100000000000005,1068
6.32,1068
6.33,1068
6.34,1068
6.3500000000000005,1068
6.36,1068
6.37,1068
6.38,1068
6.390000000000001,1068
6.4,1068
6.41,1068
6.42,1068
6.43,1068
6.44,1068
6.45,1068
6.46,1068
6.47,1068
6.48,1068
6.49,1068
6.5,1068
6.51,1068
6.5200000000000005,1068
6.53,1068
6.54,1068
6.55,1068
6.5600000000000005,1068
6.57,1068
6.58,1068
6.59,1068
6.6000000000000005,1068
6.61,1068
6.62,1068
6.63,1068
6.640000000000001,1068
6.65,1068
6.66,1068
6.67,1068
