,0,1,2,3,4,5,6,7,8
0,0.0007598079542659355,0.0009120071864175327,0.0016308868653047966,0.0032726147384509368,0.0045217442633811895,0.0031941789137110775,0.0016285543180765086,0.0009070472223087487,0.0007579408981747828
1,0.0005630781280740215,0.0005249396357725131,0.0008143984939457214,0.0014115438120134182,0.0018301558965751889,0.0014174389288137397,0.0008753231359333268,0.000564537908336853,0.0005914133557520115
2,0.00043409553872757726,0.0003377210683091444,0.000417828672480702,0.000563884336960851,0.0006423472323879998,0.0005905153489226894,0.0004986711894300108,0.0004097565231203771,0.00047561477134412265
3,0.0003445378280132371,0.00026784685699623426,0.00028611596691618734,0.0003294367528544,0.00033601927603760056,0.0003201122820895389,0.00034136336324921556,0.00035709267967076345,0.00041003182631971685
4,0.00026761895811466563,0.00020768833670314617,0.0002065127460760062,0.0002180481350274097,0.000204672298598111,0.00018355239600622965,0.00022171169197543328,0.0002729190710147924,0.00033100479860364565
5,0.00020853917483668313,0.0001451490051064968,0.0001329613315665335,0.0001318100942682964,0.0001158127119145651,0.00010130198172517146,0.00012279444666097052,0.00016458969896636296,0.0002381233015609052
6,0.00016580551626173932,9.713338770130814e-05,8.091622800035499e-05,8.053260657540283e-05,7.47765983308456e-05,6.595147044916399e-05,7.16761527120877e-05,9.510511828195669e-05,0.00015991428359021976
7,0.000145867547057107,7.494302098809888e-05,6.119957023758033e-05,6.042090027890403e-05,5.8198363031336486e-05,5.214012991804311e-05,5.657016327753136e-05,7.033307422129527e-05,0.00011339342994992467
8,0.00012759000862771816,7.273980622479444e-05,5.411172179216068e-05,4.295588332217309e-05,4.360775970765732e-05,4.58876403336507e-05,4.829499922368768e-05,5.573010908137525e-05,8.823596418039823e-05
9,9.892381075572836e-05,7.173801953336995e-05,4.305022427616988e-05,2.619127957909279e-05,4.1341951835276636e-05,5.36238085471032e-05,4.0996662344220125e-05,3.468650191419807e-05,5.732242899472991e-05
10,8.744602490212041e-05,6.650543676243541e-05,3.15393056123269e-05,1.749962463923052e-05,4.399897298439089e-05,6.081416680426866e-05,3.764829864590998e-05,2.0530765933442835e-05,2.939493559685328e-05
11,7.465613955259589e-05,5.203909924173021e-05,2.198403573465461e-05,1.4340679570968114e-05,3.91934911055921e-05,5.5305432237944824e-05,3.7937918604294816e-05,2.217419048072456e-05,2.184411668575285e-05
12,4.6269477770320506e-05,3.122302356694439e-05,1.5772399603198764e-05,1.702287519474045e-05,3.279069734330384e-05,4.048120044127293e-05,3.1954440420023957e-05,2.8091873304337197e-05,2.881108528010613e-05
13,3.7329112054103566e-05,2.542841477834619e-05,1.730776765844974e-05,2.1215589368261632e-05,2.5211907110472274e-05,2.5300783380749052e-05,2.320874010312903e-05,2.9756823721192185e-05,3.748520669166137e-05
14,4.853157062138194e-05,3.2459346784346196e-05,2.026705170177731e-05,1.7533974634861918e-05,1.617202803553333e-05,2.179360037347154e-05,2.5613830616338497e-05,2.9619817970305983e-05,4.4200935065348986e-05
15,4.274947218285025e-05,2.712020290488973e-05,1.504005761594094e-05,8.499800637078045e-06,9.505979452693778e-06,2.4127260564761504e-05,3.0489693758771936e-05,2.6258065634247984e-05,4.540697522793555e-05
16,2.1715276215179345e-05,1.1777533140223603e-05,6.00740436665205e-06,2.476861394906579e-06,4.857995121614137e-06,1.7260233813294102e-05,2.181467451708585e-05,1.7219200313597455e-05,3.7245358478836445e-05
17,1.1442677648141991e-05,3.4651854977731824e-06,1.2504329093298926e-06,4.4651307453229417e-07,1.6107154662969978e-06,6.38104952205945e-06,8.11740412721416e-06,7.73972207561159e-06,2.3613377174353344e-05
18,1.4536086190329965e-05,2.4788595104551413e-06,2.2172077542332595e-07,4.9689696537859945e-08,2.84896100362764e-07,1.1665960369225605e-06,1.5679480790174727e-06,3.163850511238409e-06,1.5130426893445726e-05
19,1.5463433303299058e-05,2.4815762024291793e-06,1.217890907172429e-07,4.625191932134454e-09,2.5006779359485924e-08,1.050835878108376e-07,2.542023937938465e-07,2.6902993710907387e-06,1.6372139634602223e-05
20,8.53991257481564e-06,1.3673258399366739e-06,6.523069503503933e-08,2.9999081328024106e-09,3.039995446141252e-09,1.1506269547914398e-08,1.6842431874222934e-07,2.7411297466192336e-06,1.6646507772105483e-05
21,2.3288492945943786e-06,3.7463696153495076e-07,3.5496159349182493e-08,5.456858226235162e-08,5.066009846403333e-08,6.99167517052582e-08,5.008285227035902e-07,2.406562030328827e-06,9.568062547619267e-06
22,3.097329675543527e-07,7.141123700466396e-08,2.2785222620219878e-07,6.839147725653682e-07,6.219315202503057e-07,4.575065656325841e-07,2.3157049592109146e-06,5.5514839942973936e-06,5.735036070393172e-06
23,2.3385914207100685e-08,1.3130441512878757e-07,1.319310428548912e-06,3.99993952133075e-06,3.599486321565885e-06,1.6676186606581851e-06,5.686340147108591e-06,1.2780986889747914e-05,8.782774372864663e-06
24,1.056057788137651e-08,3.48296159077805e-07,3.5844522904343205e-06,1.086820874948522e-05,9.73669740442671e-06,3.382815002601677e-06,6.596003469180445e-06,1.4528609864133402e-05,9.7224151818514e-06
25,1.2583183539461144e-08,4.395018403848262e-07,4.5243097359667275e-06,1.3717653666524035e-05,1.226646853086598e-05,3.6615750760382414e-06,3.638281966283047e-06,7.696994302568427e-06,5.141900628487912e-06
26,7.3728305597593455e-09,2.576885642287943e-07,2.652699621068218e-06,8.042890288155154e-06,7.186374342118027e-06,1.9972183460962627e-06,9.800473634792429e-07,1.8955955801316562e-06,1.2649728467324731e-06
27,2.008039884108517e-09,7.018374765990222e-08,7.224860819704162e-07,2.1905446528899413e-06,1.9566187132374878e-06,5.268582102251684e-07,1.3513634160789373e-07,2.1716583243347867e-07,1.4457047736784427e-07
28,2.540500929493469e-10,8.879399920237584e-09,9.140638659423329e-08,2.771395837392049e-07,2.4750979040977305e-07,6.574834323195659e-08,1.0100625758278089e-08,1.1595631259226393e-08,7.675378631332894e-09
29,1.493042111096631e-11,5.218387390061818e-10,5.3719163080172486e-09,1.628737152081118e-08,1.4545194474580136e-08,3.8416143911675806e-09,4.210768146201899e-10,2.898772858094697e-10,1.893044484656791e-10
30,4.075964510730754e-13,1.424605618741532e-11,1.4665185937490335e-10,4.4464071926751795e-10,3.970700657688805e-10,1.0461855805766538e-10,9.518868576912196e-12,3.4277562563232386e-12,2.169257557187652e-12
31,5.168855225941284e-15,1.8065859449648676e-13,1.8597370682080525e-12,5.638624330681442e-12,5.035314753893232e-12,1.3253351674797455e-12,1.1019473339147063e-13,1.959838459099748e-14,1.1552241077378955e-14
32,3.044836519627441e-17,1.064212213459493e-15,1.095522140236859e-14,3.321564985249106e-14,2.966158450242687e-14,7.80382707965574e-15,6.231321192538702e-16,5.644640037342068e-17,2.8608876241502584e-17
33,8.331807530788086e-20,2.912081248791354e-18,2.997756877142673e-17,9.089039583004361e-17,8.11650020521356e-17,2.1350305953938193e-17,1.6752726860726775e-18,8.67108308549422e-20,3.2996284026819996e-20
34,1.0590589029148883e-22,3.70155642835631e-21,3.810459012087217e-20,1.1553109189929637e-19,1.0316903255524e-19,2.713638089865487e-20,2.113524253527039e-21,7.408390870202529e-23,1.7786281622848882e-23
35,6.25326220372654e-26,2.1856010883517636e-24,2.2499031217979264e-23,6.821586655929668e-23,6.09166121832512e-23,1.602228955923847e-23,1.2439956442219897e-24,3.4790431339621795e-26,4.517204947438359e-27
36,1.7151369397372014e-29,5.9946393418902335e-28,6.171006155272807e-27,1.8710162574633785e-26,1.6708129983257123e-26,4.394514638782623e-27,3.4074759369897853e-28,8.511897816574585e-30,5.501803859192144e-31
