position 
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05, 0.05]"
"[0.05002097551412926, 0.049985030903407966]"
"[0.05004195102825852, 0.04997006180681593]"
"[0.05006292654238778, 0.04995509271022389]"
"[0.05008390205651704, 0.04994012361363186]"
"[0.0501048775706463, 0.04992515451703982]"
"[0.05012585308477556, 0.049910185420447783]"
"[0.05014682859890482, 0.04989521632385575]"
"[0.05016780411303408, 0.04988024722726371]"
"[0.05018877962716334, 0.049865278130671674]"
"[0.0502097551412926, 0.04985030903407964]"
"[0.05023073065542186, 0.0498353399374876]"
"[0.050251706169551116, 0.049820370840895564]"
"[0.050272681683680376, 0.04980540174430353]"
"[0.050293657197809635, 0.04979043264771149]"
"[0.050314632711938895, 0.049775463551119455]"
"[0.050335608226068154, 0.04976049445452742]"
"[0.050356583740197414, 0.04974552535793538]"
"[0.05037755925432667, 0.049730556261343345]"
"[0.05039853476845593, 0.04971558716475131]"
"[0.05041951028258519, 0.04970061806815927]"
"[0.05044048579671445, 0.049685648971567235]"
"[0.05046146131084371, 0.0496706798749752]"
"[0.05048243682497297, 0.04965571077838316]"
"[0.05050341233910223, 0.049640741681791126]"
"[0.05052438785323149, 0.04962577258519909]"
"[0.05054536336736075, 0.04961080348860705]"
"[0.05056633888149001, 0.049595834392015016]"
"[0.05058731439561927, 0.04958086529542298]"
"[0.05060828990974853, 0.04956589619883094]"
"[0.05062926542387779, 0.049550927102238906]"
"[0.050650240938007046, 0.04953595800564687]"
"[0.050671216452136306, 0.04952098890905483]"
"[0.050692191966265565, 0.0495060198124628]"
"[0.050713167480394825, 0.04949105071587076]"
"[0.050734142994524084, 0.049476081619278724]"
"[0.050755118508653344, 0.04946111252268669]"
"[0.0507760940227826, 0.04944614342609465]"
"[0.05079706953691186, 0.049431174329502614]"
"[0.05081804505104112, 0.04941620523291058]"
"[0.05083902056517038, 0.04940123613631854]"
"[0.05085999607929964, 0.049386267039726504]"
"[0.0508809715934289, 0.04937129794313447]"
"[0.05090194710755816, 0.04935632884654243]"
"[0.05092292262168742, 0.049341359749950395]"
"[0.05096487364994593, 0.049311421556766315]"
"[0.05100682467820444, 0.049281483363582235]"
"[0.051048775706462955, 0.049251545170398155]"
"[0.05109072673472147, 0.049221606977214075]"
"[0.05113267776297998, 0.049191668784029995]"
"[0.05117462879123849, 0.049161730590845915]"
"[0.051216579819497, 0.049131792397661835]"
"[0.051258530847755515, 0.049101854204477755]"
"[0.05130048187601403, 0.049071916011293674]"
"[0.05134243290427254, 0.049041977818109594]"
"[0.05138438393253105, 0.049012039624925514]"
"[0.05142633496078956, 0.048982101431741434]"
"[0.051468285989048075, 0.048952163238557354]"
"[0.05151023701730659, 0.048922225045373274]"
"[0.0515521880455651, 0.048892286852189194]"
"[0.05159413907382361, 0.048862348659005114]"
"[0.05163609010208212, 0.048832410465821034]"
"[0.051678041130340635, 0.048802472272636954]"
"[0.05171999215859915, 0.048772534079452874]"
"[0.05176194318685766, 0.048742595886268794]"
"[0.05180389421511617, 0.048712657693084714]"
"[0.05184584524337468, 0.048682719499900634]"
"[0.05184584524337468, 0.048682719499900634]"
"[0.05184584524337468, 0.048682719499900634]"
"[0.05184584524337468, 0.048682719499900634]"
"[0.05184584524337468, 0.048682719499900634]"
"[0.05184584524337468, 0.048682719499900634]"
"[0.05184584524337468, 0.048682719499900634]"
"[0.05184584524337468, 0.048682719499900634]"
"[0.05183310980355948, 0.04865813422057474]"
"[0.05182037436374427, 0.04863354894124884]"
"[0.05180763892392907, 0.048608963661922945]"
"[0.05179490348411386, 0.04858437838259705]"
"[0.05178216804429866, 0.04855979310327115]"
"[0.051769432604483454, 0.048535207823945256]"
"[0.05175669716466825, 0.04851062254461936]"
