time,distance (cm)
0.0,1033
0.01,1033
0.02,1033
0.03,1033
0.04,1033
0.05,1033
0.06,1033
0.07,1033
0.08,1033
0.09,1033
0.1,1033
0.11,1033
0.12,1033
0.13,1033
0.14,1033
0.15,1033
0.16,1033
0.17,1033
0.18,1033
0.19,1033
0.2,1033
0.21,1033
0.22,1033
0.23,1033
0.24,1033
0.25,1033
0.26,1033
0.27,1033
0.28,1033
0.29,1033
0.3,1033
0.31,1033
0.32,1033
0.33,1033
0.34,1033
0.35000000000000003,1033
0.36,1033
0.37,1033
0.38,1033
0.39,1033
0.4,1033
0.41000000000000003,1033
0.42,1033
0.43,1033
0.44,1033
0.45,1033
0.46,1033
0.47000000000000003,1033
0.48,1033
0.49,1033
0.5,1033
0.51,1033
0.52,1033
0.53,1033
0.54,1033
0.55,1033
0.56,1033
0.5700000000000001,1033
0.58,1033
0.59,1033
0.6,1033
0.61,1033
0.62,1033
0.63,1033
0.64,1033
0.65,1033
0.66,1033
0.67,1033
0.68,1033
0.6900000000000001,1033
0.7000000000000001,1033
0.71,1033
0.72,1033
0.73,1033
0.74,1033
0.75,1033
0.76,1033
0.77,1033
0.78,1033
0.79,1033
0.8,1033
0.81,1033
0.8200000000000001,1033
0.8300000000000001,1033
0.84,1033
0.85,1033
0.86,1033
0.87,1033
0.88,1033
0.89,1033
0.9,1033
0.91,1033
0.92,1033
0.93,1033
0.9400000000000001,1033
0.9500000000000001,1033
0.96,1033
0.97,1033
0.98,1033
0.99,1033
1.0,1033
1.01,1033
1.02,1033
1.03,1033
1.04,1033
1.05,1033
1.06,1033
1.07,1033
1.08,1033
1.09,1033
1.1,1033
1.11,1033
1.12,1033
1.1300000000000001,1033
1.1400000000000001,1033
1.1500000000000001,1033
1.16,1033
1.17,1033
1.18,1033
1.19,1033
1.2,1033
1.21,1033
1.22,1033
1.23,1033
1.24,1033
1.25,1033
1.26,1033
1.27,1033
1.28,1033
1.29,1033
1.3,1033
1.31,1033
1.32,1033
1.33,1033
1.34,1033
1.35,1033
1.36,1033
1.37,1033
1.3800000000000001,1033
1.3900000000000001,1033
1.4000000000000001,1033
1.41,1033
1.42,1033
1.43,1033
1.44,1033
1.45,1033
1.46,1033
1.47,1033
1.48,1033
1.49,1033
1.5,1033
1.51,1033
1.52,1033
1.53,1033
1.54,1033
1.55,1033
1.56,1033
1.57,1033
1.58,1033
1.59,1033
1.6,1033
1.61,1033
1.62,1033
1.6300000000000001,1033
1.6400000000000001,1033
1.6500000000000001,1033
1.6600000000000001,1033
1.67,1033
1.68,1033
1.69,1033
1.7,1033
1.71,1033
1.72,1033
1.73,1033
1.74,1033
1.75,1033
1.76,1033
1.77,1033
1.78,1033
1.79,1033
1.8,1033
1.81,1033
1.82,1033
1.83,1033
1.84,1033
1.85,1033
1.86,1033
1.87,1033
1.8800000000000001,1033
1.8900000000000001,1033
1.9000000000000001,1033
1.9100000000000001,1033
1.92,1033
1.93,1033
1.94,1033
1.95,1033
1.96,1033
1.97,1033
1.98,1033
1.99,1033
2.0,1033
2.0100000000000002,1033
2.02,1033
2.0300000000000002,1033
2.04,1033
2.05,1033
2.06,1033
2.07,1033
2.08,1033
2.09,1033
2.1,1033
2.11,1033
2.12,1033
2.13,1033
2.14,1033
2.15,1033
2.16,1033
2.17,1033
2.18,1033
2.19,1033
2.2,1033
2.21,1033
2.22,1033
2.23,1033
2.24,1033
2.25,1033
2.2600000000000002,1033
2.27,1033
2.2800000000000002,1033
2.29,1033
2.3000000000000003,1033
2.31,1033
2.32,1033
2.33,1033
2.34,1033
2.35,1033
2.36,1033
2.37,1033
2.38,1033
2.39,1033
2.4,1033
2.41,1033
2.42,1033
2.43,1033
2.44,1033
2.45,1033
2.46,1033
2.47,1033
2.48,1033
2.49,1033
2.5,1033
2.5100000000000002,1033
2.52,1033
2.5300000000000002,1033
2.54,1033
2.5500000000000003,1033
2.56,1033
2.57,1033
2.58,1033
2.59,1033
2.6,1033
2.61,1033
2.62,1033
2.63,1033
2.64,1033
2.65,1033
2.66,1033
2.67,1033
2.68,1033
2.69,1033
2.7,1033
2.71,1033
2.72,1033
2.73,1033
2.74,1033
2.75,1033
2.7600000000000002,1033
2.77,1033
2.7800000000000002,1033
2.79,1033
2.8000000000000003,1033
2.81,1033
2.82,1033
2.83,1033
2.84,1033
2.85,1033
2.86,1033
2.87,1033
2.88,1033
2.89,1033
2.9,1033
2.91,1033
2.92,1033
2.93,1033
2.94,1033
2.95,1033
2.96,1033
2.97,1033
2.98,1033
2.99,1033
3.0,1033
3.0100000000000002,1033
3.02,1033
3.0300000000000002,1033
3.04,1033
3.0500000000000003,1033
3.06,1033
3.0700000000000003,1033
3.08,1033
3.09,1033
3.1,1033
3.11,1033
3.12,1033
3.13,1033
3.14,1033
3.15,1033
3.16,1033
3.17,1033
3.18,1033
3.19,1033
3.2,1033
3.21,1033
3.22,1033
3.23,1033
3.24,1033
3.25,1033
3.2600000000000002,1033
3.27,1033
3.2800000000000002,1033
3.29,1033
3.3000000000000003,1033
3.31,1033
3.3200000000000003,1033
3.33,1033
3.34,1033
3.35,1033
3.36,1033
3.37,1033
3.38,1033
3.39,1033
3.4,1033
3.41,1033
3.42,1033
3.43,1033
3.44,1033
3.45,1033
3.46,1033
3.47,1033
3.48,1033
3.49,1033
3.5,1033
3.5100000000000002,1033
3.52,1033
3.5300000000000002,1033
3.54,1033
3.5500000000000003,1033
3.56,1033
3.5700000000000003,1033
3.58,1033
3.59,1033
3.6,1033
3.61,1033
3.62,1033
3.63,1033
3.64,1033
3.65,1033
3.66,1033
3.67,1033
3.68,1033
3.69,1033
3.7,1033
3.71,1033
3.72,1033
3.73,1033
3.74,1033
3.75,1033
3.7600000000000002,1033
3.77,1033
3.7800000000000002,1033
3.79,1033
3.8000000000000003,1033
3.81,1033
3.8200000000000003,1033
3.83,1033
3.84,1033
3.85,1033
3.86,1033
3.87,1033
3.88,1033
3.89,1033
3.9,1033
3.91,1033
3.92,1033
3.93,1033
3.94,1033
3.95,1033
3.96,1033
3.97,1033
3.98,1033
3.99,1033
4.0,1033
4.01,1033
4.0200000000000005,1033
4.03,1033
4.04,1033
4.05,1033
4.0600000000000005,1033
4.07,1033
4.08,1033
4.09,1033
4.1,1033
4.11,1033
4.12,1033
4.13,1033
4.14,1033
4.15,1033
4.16,1033
4.17,1033
4.18,1033
4.19,1033
4.2,1033
4.21,1033
4.22,1033
4.23,1033
4.24,1033
4.25,1033
4.26,1033
4.2700000000000005,1033
4.28,1033
4.29,1033
4.3,1033
4.3100000000000005,1033
4.32,1033
4.33,1033
4.34,1033
4.3500000000000005,1033
4.36,1033
4.37,1033
4.38,1033
4.39,1033
4.4,1033
4.41,1033
4.42,1033
4.43,1033
4.44,1033
4.45,1033
4.46,1033
4.47,1033
4.48,1033
4.49,1033
4.5,1033
4.51,1033
4.5200000000000005,1033
4.53,1033
4.54,1033
4.55,1033
4.5600000000000005,1033
4.57,1033
4.58,1033
4.59,1033
4.6000000000000005,1033
4.61,1033
4.62,1033
4.63,1033
4.64,1033
4.65,1033
4.66,1033
4.67,1033
4.68,1033
4.69,1033
4.7,1033
4.71,1033
4.72,1033
4.73,1033
4.74,1033
4.75,1033
4.76,1033
4.7700000000000005,1033
4.78,1033
4.79,1033
4.8,1033
4.8100000000000005,1033
4.82,1033
4.83,1033
4.84,1033
4.8500000000000005,1033
4.86,1033
4.87,1033
4.88,1033
4.89,1033
4.9,1033
4.91,1033
4.92,1033
4.93,1033
4.94,1033
4.95,1033
4.96,1033
4.97,1033
4.98,1033
4.99,1033
5.0,1033
5.01,1033
5.0200000000000005,1033
5.03,1033
5.04,1033
5.05,1033
5.0600000000000005,1033
5.07,1033
5.08,1033
5.09,1033
5.1000000000000005,1033
5.11,1033
5.12,1033
5.13,1033
5.14,1033
5.15,1033
5.16,1033
5.17,1033
5.18,1033
5.19,1033
5.2,1033
5.21,1033
5.22,1033
5.23,1033
5.24,1033
5.25,1033
5.26,1033
5.2700000000000005,1033
5.28,1033
5.29,1033
5.3,1033
5.3100000000000005,1033
5.32,1033
5.33,1033
5.34,1033
5.3500000000000005,1033
5.36,1033
5.37,1033
5.38,1033
5.39,1033
5.4,1033
5.41,1033
5.42,1033
5.43,1033
5.44,1033
5.45,1033
5.46,1033
5.47,1033
5.48,1033
5.49,1033
5.5,1033
5.51,1033
5.5200000000000005,1033
5.53,1033
5.54,1033
5.55,1033
5.5600000000000005,1033
5.57,1033
5.58,1033
5.59,1033
5.6000000000000005,1033
5.61,1033
5.62,1033
5.63,1033
5.64,1033
5.65,1033
5.66,1033
5.67,1033
5.68,1033
5.69,1033
5.7,1033
5.71,1033
5.72,1033
5.73,1033
5.74,1033
5.75,1033
5.76,1033
5.7700000000000005,1033
5.78,1033
5.79,1033
5.8,1033
5.8100000000000005,1033
5.82,1033
5.83,1033
5.84,1033
5.8500000000000005,1033
5.86,1033
5.87,1033
5.88,1033
5.89,1033
5.9,1033
5.91,1033
5.92,1033
5.93,1033
5.94,1033
5.95,1033
5.96,1033
5.97,1033
5.98,1033
5.99,1033
6.0,1033
6.01,1033
6.0200000000000005,1033
6.03,1033
6.04,1033
6.05,1033
6.0600000000000005,1033
6.07,1033
6.08,1033
6.09,1033
