time,distance (cm)
0.0,1080
0.01,1080
0.02,1080
0.03,1080
0.04,1080
0.05,1080
0.06,1080
0.07,1080
0.08,1080
0.09,1080
0.1,1080
0.11,1080
0.12,1080
0.13,1080
0.14,1080
0.15,1080
0.16,1080
0.17,1080
0.18,1080
0.19,1080
0.2,1080
0.21,1080
0.22,1080
0.23,1080
0.24,1080
0.25,1080
0.26,1080
0.27,1080
0.28,1080
0.29,1080
0.3,1080
0.31,1080
0.32,1080
0.33,1080
0.34,1080
0.35000000000000003,1080
0.36,1080
0.37,1080
0.38,1080
0.39,1080
0.4,1080
0.41000000000000003,1080
0.42,1080
0.43,1080
0.44,1080
0.45,1080
0.46,1080
0.47000000000000003,1080
0.48,1080
0.49,1080
0.5,1080
0.51,1080
0.52,1080
0.53,1080
0.54,1080
0.55,1080
0.56,1080
0.5700000000000001,1080
0.58,1080
0.59,1080
0.6,1080
0.61,1080
0.62,1080
0.63,1080
0.64,1080
0.65,1080
0.66,1080
0.67,1080
0.68,1080
0.6900000000000001,1080
0.7000000000000001,1080
0.71,1080
0.72,1080
0.73,1080
0.74,1080
0.75,1080
0.76,1080
0.77,1080
0.78,1080
0.79,1080
0.8,1080
0.81,1080
0.8200000000000001,1080
0.8300000000000001,1080
0.84,1080
0.85,1080
0.86,1080
0.87,1080
0.88,1080
0.89,1080
0.9,1080
0.91,1080
0.92,1080
0.93,1080
0.9400000000000001,1080
0.9500000000000001,1080
0.96,1080
0.97,1080
0.98,1080
0.99,1080
1.0,1080
1.01,1080
1.02,1080
1.03,1080
1.04,1080
1.05,1080
1.06,1080
1.07,1080
1.08,1080
1.09,1080
1.1,1080
1.11,1080
1.12,1080
1.1300000000000001,1080
1.1400000000000001,1080
1.1500000000000001,1080
1.16,1080
1.17,1080
1.18,1080
1.19,1080
1.2,1080
1.21,1080
1.22,1080
1.23,1080
1.24,1080
1.25,1080
1.26,1080
1.27,1080
1.28,1080
1.29,1080
1.3,1080
1.31,1080
1.32,1080
1.33,1080
1.34,1080
1.35,1080
1.36,1080
1.37,1080
1.3800000000000001,1080
1.3900000000000001,1080
1.4000000000000001,1080
1.41,1080
1.42,1080
1.43,1080
1.44,1080
1.45,1080
1.46,1080
1.47,1080
1.48,1080
1.49,1080
1.5,1080
1.51,1080
1.52,1080
1.53,1080
1.54,1080
1.55,1080
1.56,1080
1.57,1080
1.58,1080
1.59,1080
1.6,1080
1.61,1080
1.62,1080
1.6300000000000001,1080
1.6400000000000001,1080
1.6500000000000001,1080
1.6600000000000001,1080
1.67,1080
1.68,1080
1.69,1080
1.7,1080
1.71,1080
1.72,1080
1.73,1080
1.74,1080
1.75,1080
1.76,1080
1.77,1080
1.78,1080
1.79,1080
1.8,1080
1.81,1080
1.82,1080
1.83,1080
1.84,1080
1.85,1080
1.86,1080
1.87,1080
1.8800000000000001,1080
1.8900000000000001,1080
1.9000000000000001,1080
1.9100000000000001,1080
1.92,1080
1.93,1080
1.94,1080
1.95,1080
1.96,1080
1.97,1080
1.98,1080
1.99,1080
2.0,1080
2.0100000000000002,1080
2.02,1080
2.0300000000000002,1080
2.04,1080
2.05,1080
2.06,1080
2.07,1080
2.08,1080
2.09,1080
2.1,1080
2.11,1080
2.12,1080
2.13,1080
2.14,1080
2.15,1080
2.16,1080
2.17,1080
2.18,1080
2.19,1080
2.2,1080
2.21,1080
2.22,1080
2.23,1080
2.24,1080
2.25,1080
2.2600000000000002,1080
2.27,1080
2.2800000000000002,1080
2.29,1080
2.3000000000000003,1080
2.31,1080
2.32,1080
2.33,1080
2.34,1080
2.35,1080
2.36,1080
2.37,1080
2.38,1080
2.39,1080
2.4,1080
2.41,1080
2.42,1080
2.43,1080
2.44,1080
2.45,1080
2.46,1080
2.47,1080
2.48,1080
2.49,1080
2.5,1080
2.5100000000000002,1080
2.52,1080
2.5300000000000002,1080
2.54,1080
2.5500000000000003,1080
2.56,1080
2.57,1080
2.58,1080
2.59,1080
2.6,1080
2.61,1080
2.62,1080
2.63,1080
2.64,1080
2.65,1080
2.66,1080
2.67,1080
2.68,1080
2.69,1080
2.7,1080
2.71,1080
2.72,1080
2.73,1080
2.74,1080
2.75,1080
2.7600000000000002,1080
2.77,1080
2.7800000000000002,1080
2.79,1080
2.8000000000000003,1080
2.81,1080
2.82,1080
2.83,1080
2.84,1080
2.85,1080
2.86,1080
2.87,1080
2.88,1080
2.89,1080
2.9,1080
2.91,1080
2.92,1080
2.93,1080
2.94,1080
2.95,1080
2.96,1080
2.97,1080
2.98,1080
2.99,1080
3.0,1080
3.0100000000000002,1080
3.02,1080
3.0300000000000002,1080
3.04,1080
3.0500000000000003,1080
3.06,1080
3.0700000000000003,1080
3.08,1080
3.09,1080
3.1,1080
3.11,1080
3.12,1080
3.13,1080
3.14,1080
3.15,1080
3.16,1080
3.17,1080
3.18,1080
3.19,1080
3.2,1080
3.21,1080
3.22,1080
3.23,1080
3.24,1080
3.25,1080
3.2600000000000002,1080
3.27,1080
3.2800000000000002,1080
3.29,1080
3.3000000000000003,1080
3.31,1080
3.3200000000000003,1080
3.33,1080
3.34,1080
3.35,1080
3.36,1080
3.37,1080
3.38,1080
3.39,1080
3.4,1080
3.41,1080
3.42,1080
3.43,1080
3.44,1080
3.45,1080
3.46,1080
3.47,1080
3.48,1080
3.49,1080
3.5,1080
3.5100000000000002,1080
3.52,1080
3.5300000000000002,1080
3.54,1080
3.5500000000000003,1080
3.56,1080
3.5700000000000003,1080
3.58,1080
3.59,1080
3.6,1080
3.61,1080
3.62,1080
3.63,1080
3.64,1080
3.65,1080
3.66,1080
3.67,1080
3.68,1080
3.69,1080
3.7,1080
3.71,1080
3.72,1080
3.73,1080
3.74,1080
3.75,1080
3.7600000000000002,1080
3.77,1080
3.7800000000000002,1080
3.79,1080
3.8000000000000003,1080
3.81,1080
3.8200000000000003,1080
3.83,1080
3.84,1080
3.85,1080
3.86,1080
3.87,1080
3.88,1080
3.89,1080
3.9,1080
3.91,1080
3.92,1080
3.93,1080
3.94,1080
3.95,1080
3.96,1080
3.97,1080
3.98,1080
3.99,1080
4.0,1080
4.01,1080
4.0200000000000005,1080
4.03,1080
4.04,1080
4.05,1080
4.0600000000000005,1080
4.07,1080
4.08,1080
4.09,1080
4.1,1080
4.11,1080
4.12,1080
4.13,1080
4.14,1080
4.15,1080
4.16,1080
4.17,1080
4.18,1080
4.19,1080
4.2,1080
4.21,1080
4.22,1080
4.23,1080
4.24,1080
4.25,1080
4.26,1080
4.2700000000000005,1080
4.28,1080
4.29,1080
4.3,1080
4.3100000000000005,1080
4.32,1080
4.33,1080
4.34,1080
4.3500000000000005,1080
4.36,1080
4.37,1080
4.38,1080
4.39,1080
4.4,1080
4.41,1080
4.42,1080
4.43,1080
4.44,1080
4.45,1080
4.46,1080
4.47,1080
4.48,1080
4.49,1080
4.5,1080
4.51,1080
4.5200000000000005,1080
4.53,1080
4.54,1080
4.55,1080
4.5600000000000005,1080
4.57,1080
4.58,1080
4.59,1080
4.6000000000000005,1080
4.61,1080
4.62,1080
4.63,1080
4.64,1080
4.65,1080
4.66,1080
4.67,1080
4.68,1080
4.69,1080
4.7,1080
4.71,1080
4.72,1080
4.73,1080
4.74,1080
4.75,1080
4.76,1080
4.7700000000000005,1080
4.78,1080
4.79,1080
4.8,1080
4.8100000000000005,1080
4.82,1080
4.83,1080
4.84,1080
4.8500000000000005,1080
4.86,1080
4.87,1080
4.88,1080
4.89,1080
4.9,1080
4.91,1080
4.92,1080
4.93,1080
4.94,1080
4.95,1080
4.96,1080
4.97,1080
4.98,1080
4.99,1080
5.0,1080
5.01,1080
5.0200000000000005,1080
5.03,1080
5.04,1080
5.05,1080
5.0600000000000005,1080
5.07,1080
5.08,1080
5.09,1080
5.1000000000000005,1080
5.11,1080
5.12,1080
5.13,1080
5.14,1080
5.15,1080
5.16,1080
5.17,1080
5.18,1080
5.19,1080
5.2,1080
5.21,1080
5.22,1080
5.23,1080
5.24,1080
5.25,1080
5.26,1080
5.2700000000000005,1080
5.28,1080
5.29,1080
5.3,1080
5.3100000000000005,1080
5.32,1080
5.33,1080
5.34,1080
5.3500000000000005,1080
5.36,1080
5.37,1080
5.38,1080
5.39,1080
5.4,1080
5.41,1080
5.42,1080
5.43,1080
5.44,1080
5.45,1080
5.46,1080
5.47,1080
5.48,1080
5.49,1080
5.5,1080
5.51,1080
5.5200000000000005,1080
5.53,1080
5.54,1080
5.55,1080
5.5600000000000005,1080
5.57,1080
5.58,1080
5.59,1080
5.6000000000000005,1080
5.61,1080
5.62,1080
5.63,1080
5.64,1080
5.65,1080
5.66,1080
5.67,1080
5.68,1080
5.69,1080
5.7,1080
5.71,1080
5.72,1080
5.73,1080
5.74,1080
5.75,1080
5.76,1080
5.7700000000000005,1080
5.78,1080
5.79,1080
5.8,1080
5.8100000000000005,1080
5.82,1080
5.83,1080
5.84,1080
5.8500000000000005,1080
5.86,1080
5.87,1080
5.88,1080
5.89,1080
5.9,1080
5.91,1080
5.92,1080
5.93,1080
5.94,1080
5.95,1080
5.96,1080
5.97,1080
5.98,1080
5.99,1080
6.0,1080
6.01,1080
6.0200000000000005,1080
6.03,1080
6.04,1080
6.05,1080
6.0600000000000005,1080
6.07,1080
6.08,1080
6.09,1080
6.1000000000000005,1080
6.11,1080
6.12,1080
6.13,1080
6.140000000000001,1080
6.15,1080
6.16,1080
6.17,1080
6.18,1080
6.19,1080
6.2,1080
6.21,1080
6.22,1080
6.23,1080
6.24,1080
6.25,1080
6.26,1080
6.2700000000000005,1080
6.28,1080
6.29,1080
6.3,1080
6.3100000000000005,1080
6.32,1080
6.33,1080
6.34,1080
6.3500000000000005,1080
6.36,1080
6.37,1080
6.38,1080
6.390000000000001,1080
6.4,1080
6.41,1080
6.42,1080
6.43,1080
6.44,1080
6.45,1080
6.46,1080
6.47,1080
6.48,1080
6.49,1080
6.5,1080
6.51,1080
6.5200000000000005,1080
6.53,1080
6.54,1080
6.55,1080
6.5600000000000005,1080
6.57,1080
6.58,1080
6.59,1080
6.6000000000000005,1080
6.61,1080
6.62,1080
6.63,1080
6.640000000000001,1080
6.65,1080
6.66,1080
6.67,1080
6.68,1080
6.69,1080
6.7,1080
6.71,1080
6.72,1080
6.73,1080
6.74,1080
6.75,1080
6.76,1080
6.7700000000000005,1080
6.78,1080
6.79,1080
6.8,1080
6.8100000000000005,1080
6.82,1080
6.83,1080
6.84,1080
6.8500000000000005,1080
6.86,1080
6.87,1080
6.88,1080
6.890000000000001,1080
