0,1,2,3,4,5,6,7,8,9,10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9804149660506722,0.9838731486815331,0.986743950965477,0.9879025502021859,0.9880948273845882,0.9877672325202659,0.9865017887815671,0.9834580212702071,0.9797064587951722,1.0
1.0,0.9788642183398312,0.9829270333549212,0.9862260914728322,0.9875228390792449,0.9877111499499444,0.9873281339388861,0.9859033920715791,0.9824680985527338,0.9781894614374569,1.0
1.0,0.9776696266147361,0.9823248586326767,0.9860141264418298,0.9874279470749282,0.9876146027686333,0.9871858999720419,0.9855922103555874,0.9818166027438027,0.9770228091931445,1.0
1.0,0.976732178416854,0.981952908882461,0.9859646896653629,0.9874370342678924,0.9876166873411103,0.9871456108851467,0.9854170170633276,0.9813759144854327,0.976079777459952,1.0
1.0,0.9759334071988044,0.9816488591154209,0.9858981074847455,0.9872216096129879,0.9874319756796779,0.9870000636422838,0.985259073044388,0.9810944733873193,0.975422635234267,1.0
1.0,0.9751778310863286,0.9812446939341872,0.9856674148843125,0.986997284522668,0.9870045933453752,0.9865743399027301,0.9849885308000558,0.9808071937066146,0.9748134266173578,1.0
1.0,0.9744529315337644,0.9807539395921283,0.9850972174328134,0.9861208721984825,0.9858089311605811,0.985559767781358,0.9844714627350016,0.9804202368693582,0.9741992214252948,1.0
1.0,0.9739682801076814,0.9800951324198489,0.9842285684544803,0.9843808605428059,0.9833217418540746,0.9834996937311673,0.9835436319602932,0.9799895586621356,0.9736500941173796,1.0
1.0,0.97353466524218,0.9793643264406662,0.9828348850070959,0.9822549936308889,0.9782140450155039,0.9816341398543237,0.9825786789808821,0.9796046111690797,0.9734096442478981,1.0
1.0,0.9735669458779052,0.9794675662613134,0.9824763748362583,0.9786637334691827,0.0,0.9779183793743034,0.9823518387760217,0.979783727123332,0.9734976067074069,1.0
1.0,0.973912386700284,0.9798700900521882,0.9831532257913996,0.9823395285020202,0.9783138061685072,0.9817985126087816,0.9832804407873861,0.9804208781354059,0.9743668285949215,1.0
1.0,0.9749704766344531,0.9812378399088838,0.9847975865286974,0.9851668747446951,0.9844214587206747,0.9850646203322323,0.9847711576183803,0.9812440593048006,0.9752747626779926,1.0
1.0,0.9761804701589905,0.9827110796803916,0.9866298787003787,0.9873802439062666,0.9872856126100086,0.9873635015100594,0.9863627481925871,0.9824576693728884,0.9764460144819465,1.0
1.0,0.9775041153702159,0.9838729661182798,0.9879858172742371,0.9893375279346891,0.9894953026665589,0.9891474668061929,0.9876902602593727,0.9835361676029607,0.9776417374728065,1.0
1.0,0.978970246919051,0.9850309147492756,0.9891449033351809,0.9906163819597371,0.9908965304577761,0.9904438026133394,0.9888934140377283,0.9847615979279799,0.9790318396561895,1.0
1.0,0.9805209262158848,0.986166649394978,0.9900405704328425,0.9915248395137389,0.9918378041570381,0.9914852340523632,0.9899458164745644,0.9859404715299107,0.980466411140035,1.0
1.0,0.9820418391190192,0.9872125229592079,0.9908411424833945,0.9922533210076341,0.992605403033286,0.9923114924130181,0.990822936065354,0.9870026793049472,0.9818421881061139,1.0
1.0,0.983575343648227,0.9882832670601505,0.9916389039800364,0.9929491149910491,0.9932954138441692,0.9930196352747176,0.9915972122050835,0.9880064179278146,0.9832000633672804,1.0
1.0,0.9851291113938282,0.9893952043654164,0.9924480387875999,0.9936379172148725,0.9939323368216163,0.9936510562842787,0.9923000886117262,0.9889580162186404,0.9845094478170106,1.0
1.0,0.9865898451542088,0.9904420922266195,0.9932028461285781,0.9942677869478816,0.9945090805991308,0.9942167767522858,0.9929403459301027,0.9898404886398837,0.9857294610279582,1.0
1.0,0.9878927397023679,0.9913762448406483,0.9938733861690133,0.994827773690437,0.9950240826465729,0.9947244414603735,0.9935224943008774,0.9906555815963616,0.986869811412014,1.0
1.0,0.9890423392616101,0.9922032275564643,0.9944653874111189,0.9953203539546828,0.9954814069722561,0.9951837097053884,0.9940577979444339,0.9914142262256987,0.987943439031728,1.0
1.0,0.9900559451759348,0.9929288299488118,0.9949800393264209,0.9957477717810201,0.9958866268167936,0.995603167460107,0.994559234137693,0.9921253470068625,0.9889345980103565,1.0
1.0,0.9909707623854805,0.993572873411536,0.9954283390628723,0.9961206076560782,0.9962475329863744,0.9959881570641759,0.9950306798324784,0.9927932378452385,0.9898482800978574,1.0
1.0,0.9918140146626279,0.9941585205144111,0.9958298898040514,0.9964558284184364,0.9965745321739168,0.9963417210172676,0.9954704884523927,0.9934225760420456,0.990713465331609,1.0
1.0,0.9925753282518484,0.9946914735921447,0.9961983677717144,0.9967629736164251,0.9968713223807384,0.9966633206517724,0.9958771572110788,0.9940186488813234,0.9915519137105678,1.0
1.0,0.993264461165509,0.9951807520697503,0.9965403463432057,0.9970440405454568,0.9971368143025422,0.996951202218944,0.9962508088299565,0.9945858846289329,0.9923723441945991,1.0
1.0,0.9938964894026384,0.9956334548749624,0.9968577620319722,0.9972994990711593,0.9973715805531438,0.9972065325627382,0.9965933176590961,0.9951244590471706,0.9931683201945012,1.0
1.0,0.9944734930930575,0.9960480822304748,0.9971485563438305,0.9975294441855609,0.9975786381375433,0.9974336521778084,0.9969070701589225,0.9956289069005372,0.9939211278826617,1.0
1.0,0.9949936447119587,0.9964213510377208,0.9974097090472276,0.9977339713674833,0.997762281963222,0.9976383015600337,0.9971938593018288,0.9960906187833362,0.9946083621112707,1.0
1.0,0.9954578728589268,0.9967525663677848,0.997640018431363,0.9979146672476974,0.9979280062633982,0.9978268117012404,0.9974556284573722,0.996502551446974,0.9952130355828879,1.0
